Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",143.050000,-101.000000,180.000000,bottom
"C2","1u","C_0603_1608Metric",139.550000,-101.000000,180.000000,bottom
"C3","100n","C_0603_1608Metric",136.050000,-101.000000,180.000000,bottom
"C4","10n","C_0603_1608Metric",132.550000,-101.000000,180.000000,bottom
"C5"," 100n (X7R)","C_0603_1608Metric",129.050000,-101.000000,180.000000,bottom
"C6"," 10u (X7R)","C_0603_1608Metric",127.825000,-82.000000,180.000000,bottom
"C7"," 10n (X7R)","C_0603_1608Metric",127.825000,-85.000000,180.000000,bottom
"C8","100n","C_0603_1608Metric",127.825000,-88.000000,180.000000,bottom
"C9","3.3u/25V","C_0603_1608Metric",127.825000,-91.000000,180.000000,bottom
"R1","2M","R_0603_1608Metric",127.825000,-94.000000,180.000000,bottom
"U1","MCP1700T-1802E/TT","SOT-23",144.000000,-94.000000,180.000000,bottom
